"Composed name","River basin","Identifier","Names","genus","subfamily","family","suborder","order","subclass","class","subphylum","phylum","kingdom","superkingdom","Cluster"
"LGC_SF0001LB Anchoviella vaillanti","SF","0001LB","Anchoviella vaillanti","Anchoviella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"LGC_SF0002LB Anchoviella vaillanti","SF","0002LB","Anchoviella vaillanti","Anchoviella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"LGC_SF0003LB Anchoviella vaillanti","SF","0003LB","Anchoviella vaillanti","Anchoviella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"LGC_DC2250CT Steindachneridion doceanum","DC","2250CT","Steindachneridion doceanum","Steindachneridion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
"LGC_DC2251CT Steindachneridion doceanum","DC","2251CT","Steindachneridion doceanum","Steindachneridion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
"LGC_AZ0035A Hyphessobrycon ericae","AZ","0035A","Hyphessobrycon ericae","Hyphessobrycon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
"LGC_AZ0049A Knodus savannensis","AZ","0049A","Knodus savannensis","Knodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
"LGC_AZ0052A Gymnorhamphichthys rondoni","AZ","0052A","Gymnorhamphichthys rondoni","Gymnorhamphichthys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
"LGC_AZ0063A Copella nigrofasciata","AZ","0063A","Copella nigrofasciata","Copella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46
"LGC_AZ0067A Laimosemion dibaphus","AZ","0067A","Laimosemion dibaphus","Laimosemion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"LGC_AZ0076A Nannostomus marginatus","AZ","0076A","Nannostomus marginatus","Nannostomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55
"LGC_AZ0078A Iguanodectes variatus","AZ","0078A","Iguanodectes variatus","Iguanodectes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64
"LGC_AZ0087A Hoplias malabaricus","AZ","0087A","Hoplias malabaricus","Hoplias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
"LGC_AZ0091A Brachyglanis  microphtalmus","AZ","0091A","Brachyglanis  microphtalmus","Brachyglanis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117
"LGC_AZ0107A Knodus savannensis","AZ","0107A","Knodus savannensis","Knodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
"LGC_AZ0110A Farlowella cf. smith","AZ","0110A","Farlowella cf. smith","Farlowella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98
"LGC_AZ0115A Rhamdia quelen","AZ","0115A","Rhamdia quelen","Rhamdia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112
"LGC_AZ0118A Hoplias curupira","AZ","0118A","Hoplias curupira","Hoplias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
"LGC_AZ0126A Apteronotus albifrons","AZ","0126A","Apteronotus albifrons","Apteronotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
"LGC_AZ0137A Helogenes marmoratus","AZ","0137A","Helogenes marmoratus","Helogenes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
"LGC_AZ0150A Denticetopsis seducta","AZ","0150A","Denticetopsis seducta","Denticetopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44
"LGC_AZ0152A Copella nigrofasciata","AZ","0152A","Copella nigrofasciata","Copella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46
"LGC_AZ0158A Steatogenys duidae","AZ","0158A","Steatogenys duidae","Steatogenys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90
"LGC_AZ0162A Curimatopsis macrolepis","AZ","0162A","Curimatopsis macrolepis","Curimatopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73
"LGC_AZ0164A Bunocephalus cf. amaurus","AZ","0164A","Bunocephalus cf. amaurus","Bunocephalus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125
"LGC_AZ0186A Acestrorhynchus falcatus","AZ","0186A","Acestrorhynchus falcatus","Acestrorhynchus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
"LGC_DC0457Y Lycengraulis sp","DC","0457Y","Lycengraulis sp","Lycengraulis","Engraulinae","Engraulidae","Clupeoidei","Clupeiformes","Neopterygii","Actinopteri","Craniata","Chordata","Metazoa","Eukaryota",23
"LGC_DC0490Y Lycengraulis sp","DC","0490Y","Lycengraulis sp","Lycengraulis","Engraulinae","Engraulidae","Clupeoidei","Clupeiformes","Neopterygii","Actinopteri","Craniata","Chordata","Metazoa","Eukaryota",23
"LGC_DC0447Y Lycengraulis sp","DC","0447Y","Lycengraulis sp","Lycengraulis","Engraulinae","Engraulidae","Clupeoidei","Clupeiformes","Neopterygii","Actinopteri","Craniata","Chordata","Metazoa","Eukaryota",23
